"","subID","condition","trialnum","targetLabel","exposureRate","knownAdj","method","typedLabel","communicationCorrect","gameClosest","gameDistance","communicationCorrectAdj","firstTrial","trueClickPoints","trueLabelPoints"
"1",1,"100_30",36,"blicket",2,1,"label","blicket",1,"blicket",0,1,"First",30,100
"2",1,"100_30",37,"dax",2,1,"label","dax",1,"dax",0,1,"First",30,100
"3",1,"100_30",38,"fep",4,1,"label","fep",1,"fep",0,1,"First",30,100
"4",1,"100_30",39,"wug",4,1,"label","wug",1,"wug",0,1,"First",30,100
"5",1,"100_30",40,"toma",1,1,"label","toma",1,"toma",0,1,"First",30,100
"6",1,"100_30",41,"kiv",1,1,"label","kiv",1,"kiv",0,1,"First",30,100
"7",1,"100_30",42,"manu",1,NA,"click",NA,1,NA,NA,NA,"First",30,100
"8",1,"100_30",43,"toma",1,1,"label","toma",1,"toma",0,1,"Second",30,100
"9",1,"100_30",44,"blicket",2,1,"label","blicket",1,"blicket",0,1,"Second",30,100
"10",1,"100_30",45,"kiv",1,1,"label","kiv",1,"kiv",0,1,"Second",30,100
"11",1,"100_30",46,"kreeb",4,1,"label","kreeb",1,"kreeb",0,1,"First",30,100
"12",1,"100_30",47,"fep",4,1,"label","fep",1,"fep",0,1,"Second",30,100
"13",1,"100_30",48,"gazzer",2,1,"label","gazzer",1,"gazzer",0,1,"First",30,100
"14",1,"100_30",49,"kreeb",4,1,"label","kreeb",1,"kreeb",0,1,"Second",30,100
"15",1,"100_30",50,"wug",4,1,"label","wug",1,"wug",0,1,"Second",30,100
"16",1,"100_30",51,"gazzer",2,1,"label","gazzer",1,"gazzer",0,1,"Second",30,100
"17",1,"100_30",52,"dax",2,1,"label","dax",1,"dax",0,1,"Second",30,100
"18",1,"100_30",53,"manu",1,NA,"click",NA,1,NA,NA,NA,"Second",30,100
"19",2,"100_30",36,"kreeb",4,1,"label","kreeg",1,"kreeb",1,1,"First",30,100
"20",2,"100_30",37,"blicket",1,NA,"click",NA,1,NA,NA,NA,"First",30,100
"21",2,"100_30",38,"fep",1,NA,"click",NA,1,NA,NA,NA,"First",30,100
"22",2,"100_30",39,"wug",4,1,"label","wug",1,"wug",0,1,"First",30,100
"23",2,"100_30",40,"gazzer",4,1,"label","gazzer",1,"gazzer",0,1,"First",30,100
"24",2,"100_30",41,"fep",1,NA,"click",NA,1,NA,NA,NA,"Second",30,100
"25",2,"100_30",42,"gazzer",4,1,"label","gazzer",1,"gazzer",0,1,"Second",30,100
"26",2,"100_30",43,"kiv",2,1,"label","vic",1,"kiv",2,1,"First",30,100
"27",2,"100_30",44,"blicket",1,NA,"click",NA,1,NA,NA,NA,"Second",30,100
"28",2,"100_30",45,"manu",2,1,"label","mannu",1,"manu",1,1,"First",30,100
"29",2,"100_30",46,"kreeb",4,1,"label","kreeg",1,"kreeb",1,1,"Second",30,100
"30",2,"100_30",47,"wug",4,1,"label","wug",1,"wug",0,1,"Second",30,100
"31",2,"100_30",48,"dax",2,1,"label","dax",1,"dax",0,1,"First",30,100
"32",2,"100_30",49,"manu",2,1,"label","mannu",1,"manu",1,1,"Second",30,100
"33",2,"100_30",50,"toma",1,NA,"click",NA,1,NA,NA,NA,"First",30,100
"34",2,"100_30",51,"kiv",2,1,"label","vic",1,"kiv",2,1,"Second",30,100
"35",2,"100_30",52,"toma",1,NA,"click",NA,1,NA,NA,NA,"Second",30,100
"36",2,"100_30",53,"dax",2,1,"label","dax",1,"dax",0,1,"Second",30,100
"37",3,"100_30",36,"blicket",4,1,"label","blicket",1,"blicket",0,1,"First",30,100
"38",3,"100_30",37,"kiv",4,1,"click",NA,1,NA,NA,NA,"First",30,100
"39",3,"100_30",38,"wug",2,1,"label","wux",1,"wug",1,1,"First",30,100
"40",3,"100_30",39,"kreeb",1,0,"click",NA,1,NA,NA,NA,"First",30,100
"41",3,"100_30",40,"toma",1,1,"click",NA,1,NA,NA,NA,"First",30,100
"42",3,"100_30",41,"fep",1,NA,"label","wex",0,"fep",2,1,"First",30,100
"43",3,"100_30",42,"manu",4,0,"click",NA,1,NA,NA,NA,"First",30,100
"44",3,"100_30",43,"gazzer",2,1,"label","gazzer",1,"gazzer",0,1,"First",30,100
"45",3,"100_30",44,"wug",2,1,"label","wex",0,"wug",2,1,"Second",30,100
"46",3,"100_30",45,"blicket",4,1,"label","blicket",1,"blicket",0,1,"Second",30,100
"47",3,"100_30",46,"gazzer",2,1,"label","gazzer",1,"gazzer",0,1,"Second",30,100
"48",3,"100_30",47,"kreeb",1,0,"click",NA,1,NA,NA,NA,"Second",30,100
"49",3,"100_30",48,"dax",2,1,"click",NA,1,NA,NA,NA,"First",30,100
"50",3,"100_30",49,"fep",1,NA,"click",NA,1,NA,NA,NA,"Second",30,100
"51",3,"100_30",50,"dax",2,1,"click",NA,1,NA,NA,NA,"Second",30,100
"52",3,"100_30",51,"manu",4,0,"click",NA,1,NA,NA,NA,"Second",30,100
"53",3,"100_30",52,"kiv",4,1,"click",NA,1,NA,NA,NA,"Second",30,100
"54",3,"100_30",53,"toma",1,1,"click",NA,1,NA,NA,NA,"Second",30,100
"55",4,"100_30",36,"dax",1,NA,"click",NA,1,NA,NA,NA,"First",30,100
"56",4,"100_30",37,"toma",4,NA,"click",NA,1,NA,NA,NA,"First",30,100
"57",4,"100_30",38,"kiv",1,NA,"click",NA,1,NA,NA,NA,"First",30,100
"58",4,"100_30",39,"fep",2,NA,"click",NA,1,NA,NA,NA,"First",30,100
"59",4,"100_30",40,"blicket",2,NA,"click",NA,1,NA,NA,NA,"First",30,100
"60",4,"100_30",41,"kreeb",4,1,"click",NA,1,NA,NA,NA,"First",30,100
