Iteration,Chain,Parameter,value
1,1,score,-12.935362060593341
2,1,score,-12.946310288704932
3,1,score,-12.94355491516028
4,1,score,-12.93547194935121
5,1,score,-12.994914598338596
6,1,score,-12.986229679598573
7,1,score,-13.032409725221585
8,1,score,-12.935361018311923
9,1,score,-13.043678275054647
10,1,score,-12.983939530409316
11,1,score,-12.936404402329146
12,1,score,-12.986613172248523
13,1,score,-12.935358878740821
14,1,score,-13.001014855126307
15,1,score,-12.935358872705997
16,1,score,-12.935398747217565
17,1,score,-12.935358872705997
18,1,score,-12.935358872705997
19,1,score,-12.935358872705997
20,1,score,-12.9353594357481
21,1,score,-12.935358872706004
22,1,score,-12.935359656526273
23,1,score,-12.935446498128826
24,1,score,-12.978824160440098
25,1,score,-12.939220026759493
26,1,score,-12.939674923717199
27,1,score,-12.942047126642727
28,1,score,-12.972732664412547
29,1,score,-12.935360322055196
30,1,score,-12.935358872803512
31,1,score,-12.935358872706196
32,1,score,-13.003703732969761
33,1,score,-13.034415506482006
34,1,score,-13.01416612482113
35,1,score,-12.995066292238924
36,1,score,-12.935393004925352
37,1,score,-12.935358872705997
38,1,score,-12.93535887270616
39,1,score,-12.989698492441285
40,1,score,-13.008195779008034
41,1,score,-12.967305557166586
42,1,score,-13.000000523286857
43,1,score,-12.937158410807843
44,1,score,-12.937158410807843
45,1,score,-12.935358874156272
46,1,score,-12.935359535571088
47,1,score,-12.935381576046929
48,1,score,-12.935358872705997
49,1,score,-12.935358872705997
50,1,score,-12.935358872705997
51,1,score,-12.935358872706
52,1,score,-12.94678922217771
53,1,score,-12.949742049180454
54,1,score,-12.93535887302281
55,1,score,-12.935358872705997
56,1,score,-12.935358872705997
57,1,score,-12.935358872705997
58,1,score,-12.935358872705997
59,1,score,-12.935358872705997
60,1,score,-12.93568528397033
61,1,score,-12.935359895762872
62,1,score,-12.935358872706018
63,1,score,-12.935358872706122
64,1,score,-12.935358872706018
65,1,score,-12.935358872706018
66,1,score,-12.935358872705997
67,1,score,-12.93535887271728
68,1,score,-12.935380625638881
69,1,score,-12.935358872767289
70,1,score,-12.935358872705997
71,1,score,-13.007828598827977
72,1,score,-13.017812102278647
73,1,score,-12.9860444148894
74,1,score,-13.018443323145185
75,1,score,-12.997396649153096
76,1,score,-12.997493841725735
77,1,score,-12.935358872705997
78,1,score,-12.935486180523306
79,1,score,-12.935358872705997
80,1,score,-13.018546552608164
81,1,score,-12.984516541359689
