Iteration,Chain,Parameter,value
1,1,score,-18.375490080055123
2,1,score,-18.375490080055123
3,1,score,-18.375490080055123
4,1,score,-18.375490080055123
5,1,score,-18.375490080055123
6,1,score,-18.375490080055123
7,1,score,-18.375490080055123
8,1,score,-18.375490080055123
9,1,score,-18.375490080055123
10,1,score,-18.375490080055123
11,1,score,-18.375490080055123
12,1,score,-18.375490080055123
13,1,score,-18.375490080055123
14,1,score,-18.375490080055123
15,1,score,-18.375490080055123
16,1,score,-18.375490080055123
17,1,score,-18.375490080055123
18,1,score,-18.375490080055123
19,1,score,-18.375490080055123
20,1,score,-18.375490080055123
21,1,score,-18.375490080055123
22,1,score,-18.375490080055123
23,1,score,-18.375490080055123
24,1,score,-18.375490080055123
25,1,score,-18.375490080055123
26,1,score,-18.375490080055123
27,1,score,-18.375490080055123
28,1,score,-18.375490080055123
29,1,score,-18.375490080055123
30,1,score,-18.375490080055123
31,1,score,-18.375490080055123
32,1,score,-18.375490080055123
33,1,score,-18.375490080055123
34,1,score,-18.375490080055123
35,1,score,-18.375490080055123
36,1,score,-18.375490080055123
37,1,score,-18.375490080055123
38,1,score,-18.375490080055123
39,1,score,-18.375490080055123
40,1,score,-18.375490080055123
41,1,score,-18.375490080055123
42,1,score,-18.375490080055123
43,1,score,-18.375490080055123
44,1,score,-18.375490080055123
45,1,score,-18.375490080055123
46,1,score,-18.375490080055123
47,1,score,-18.375490080055123
48,1,score,-18.375490080055123
49,1,score,-18.375490080055123
50,1,score,-18.375490080055123
51,1,score,-18.375490080055123
52,1,score,-18.375490080055123
53,1,score,-18.375490080055123
54,1,score,-18.375490080055123
55,1,score,-18.375490080055123
56,1,score,-18.375490080055123
57,1,score,-18.375490080055123
58,1,score,-18.375490080055123
59,1,score,-18.375490080055123
60,1,score,-18.375490080055123
61,1,score,-18.375490080055123
62,1,score,-18.375490080055123
63,1,score,-18.375490080055123
64,1,score,-18.375490080055123
65,1,score,-18.375490080055123
66,1,score,-18.375490080055123
67,1,score,-18.375490080055123
68,1,score,-18.375490080055123
69,1,score,-18.375490080055123
70,1,score,-18.375490080055123
71,1,score,-18.375490080055123
72,1,score,-18.375490080055123
73,1,score,-18.375490080055123
74,1,score,-18.375490080055123
75,1,score,-18.375490080055123
76,1,score,-18.375490080055123
77,1,score,-18.375490080055123
78,1,score,-18.375490080055123
79,1,score,-18.375490080055123
80,1,score,-18.375490080055123
81,1,score,-18.479407840995243
82,1,score,-18.479407840995243
83,1,score,-18.479407840995243
84,1,score,-18.479407840995243
85,1,score,-18.479407840995243
86,1,score,-18.479407840995243
87,1,score,-18.479407840995243
88,1,score,-18.479407840995243
89,1,score,-18.479407840995243
90,1,score,-18.479407840995243
91,1,score,-18.479407840995243
92,1,score,-18.479407840995243
93,1,score,-18.479407840995243
94,1,score,-18.479407840995243
95,1,score,-18.479407840995243
96,1,score,-18.479407840995243
97,1,score,-18.479407840995243
98,1,score,-18.479407840995243
99,1,score,-18.479407840995243
100,1,score,-18.479407840995243
101,1,score,-18.479407840995243
102,1,score,-18.479407840995243
103,1,score,-18.479407840995243
104,1,score,-18.479407840995243
105,1,score,-19.911206953256173
106,1,score,-19.911206953256173
107,1,score,-19.911206953256173
108,1,score,-19.911206953256173
109,1,score,-19.911206953256173
110,1,score,-19.911206953256173
111,1,score,-19.911206953256173
112,1,score,-19.911206953256173
113,1,score,-19.911206953256173
114,1,score,-19.911206953256173
115,1,score,-19.911206953256173
116,1,score,-19.911206953256173
117,1,score,-19.911206953256173
118,1,score,-19.911206953256173
119,1,score,-19.911206953256173
120,1,score,-19.911206953256173
121,1,score,-18.3028844694073
122,1,score,-18.3028844694073
123,1,score,-18.3028844694073
124,1,score,-18.3028844694073
125,1,score,-18.3028844694073
126,1,score,-18.3028844694073
127,1,score,-18.3028844694073
128,1,score,-18.3028844694073
129,1,score,-18.3028844694073
130,1,score,-18.3028844694073
131,1,score,-18.3028844694073
132,1,score,-18.3028844694073
133,1,score,-18.3028844694073
134,1,score,-18.3028844694073
135,1,score,-18.3028844694073
136,1,score,-18.3028844694073
137,1,score,-18.3028844694073
138,1,score,-18.3028844694073
139,1,score,-18.3028844694073
140,1,score,-18.3028844694073
141,1,score,-18.3028844694073
142,1,score,-18.3028844694073
143,1,score,-18.3028844694073
144,1,score,-18.3028844694073
145,1,score,-18.3028844694073
146,1,score,-18.3028844694073
147,1,score,-18.3028844694073
148,1,score,-18.3028844694073
149,1,score,-18.3028844694073
150,1,score,-18.3028844694073
151,1,score,-18.3028844694073
152,1,score,-18.3028844694073
153,1,score,-18.3028844694073
154,1,score,-18.3028844694073
155,1,score,-18.3028844694073
156,1,score,-18.3028844694073
157,1,score,-18.3028844694073
158,1,score,-18.3028844694073
159,1,score,-18.3028844694073
160,1,score,-18.3028844694073
161,1,score,-18.3028844694073
162,1,score,-18.3028844694073
163,1,score,-18.3028844694073
164,1,score,-18.3028844694073
165,1,score,-19.134615299043727
166,1,score,-19.134615299043727
167,1,score,-19.134615299043727
168,1,score,-19.134615299043727
169,1,score,-19.134615299043727
170,1,score,-19.134615299043727
171,1,score,-19.134615299043727
172,1,score,-19.134615299043727
173,1,score,-19.134615299043727
174,1,score,-19.134615299043727
175,1,score,-19.134615299043727
176,1,score,-19.134615299043727
177,1,score,-19.134615299043727
178,1,score,-19.134615299043727
179,1,score,-19.134615299043727
180,1,score,-19.134615299043727
181,1,score,-19.134615299043727
182,1,score,-20.751842443065257
183,1,score,-20.751842443065257
184,1,score,-20.751842443065257
185,1,score,-20.751842443065257
186,1,score,-20.751842443065257
187,1,score,-20.751842443065257
188,1,score,-20.751842443065257
189,1,score,-20.751842443065257
190,1,score,-19.832876015515218
191,1,score,-19.832876015515218
192,1,score,-19.832876015515218
193,1,score,-19.832876015515218
194,1,score,-19.832876015515218
195,1,score,-19.832876015515218
196,1,score,-19.832876015515218
197,1,score,-19.832876015515218
198,1,score,-19.832876015515218
199,1,score,-19.832876015515218
200,1,score,-19.832876015515218
1,1,alpha,0.4218441418531471
2,1,alpha,0.4218441418531471
3,1,alpha,0.4218441418531471
4,1,alpha,0.4218441418531471
5,1,alpha,0.4218441418531471
6,1,alpha,0.4218441418531471
7,1,alpha,0.4218441418531471
8,1,alpha,0.4218441418531471
9,1,alpha,0.4218441418531471
10,1,alpha,0.4218441418531471
11,1,alpha,0.4218441418531471
12,1,alpha,0.4218441418531471
13,1,alpha,0.4218441418531471
14,1,alpha,0.4218441418531471
15,1,alpha,0.4218441418531471
16,1,alpha,0.4218441418531471
17,1,alpha,0.4218441418531471
18,1,alpha,0.4218441418531471
19,1,alpha,0.4218441418531471
20,1,alpha,0.4218441418531471
21,1,alpha,0.4218441418531471
22,1,alpha,0.4218441418531471
23,1,alpha,0.4218441418531471
24,1,alpha,0.4218441418531471
25,1,alpha,0.4218441418531471
26,1,alpha,0.4218441418531471
27,1,alpha,0.4218441418531471
28,1,alpha,0.4218441418531471
29,1,alpha,0.4218441418531471
30,1,alpha,0.4218441418531471
31,1,alpha,0.4218441418531471
32,1,alpha,0.4218441418531471
33,1,alpha,0.4218441418531471
34,1,alpha,0.4218441418531471
35,1,alpha,0.4218441418531471
36,1,alpha,0.4218441418531471
37,1,alpha,0.4218441418531471
38,1,alpha,0.4218441418531471
39,1,alpha,0.4218441418531471
40,1,alpha,0.4218441418531471
41,1,alpha,0.4218441418531471
42,1,alpha,0.4218441418531471
43,1,alpha,0.4218441418531471
44,1,alpha,0.4218441418531471
45,1,alpha,0.4218441418531471
