Iteration,Chain,Parameter,value
1,1,score,-27.527034456344367
2,1,score,-27.527034456344346
3,1,score,-27.527034456344374
4,1,score,-27.527034456344374
5,1,score,-27.527034456344357
6,1,score,-27.527034456344357
7,1,score,-27.527034456344357
8,1,score,-27.527034456344374
9,1,score,-27.527034456344374
10,1,score,-27.527034456344374
11,1,score,-27.527034456344374
12,1,score,-27.527034456344367
13,1,score,-27.527034456344367
14,1,score,-27.527034456344367
15,1,score,-27.527034456344367
16,1,score,-27.702224804036213
17,1,score,-27.702224804036213
18,1,score,-27.702224804036206
19,1,score,-27.702224804036206
20,1,score,-27.702224804036206
21,1,score,-27.702224804036206
22,1,score,-27.702224804036213
23,1,score,-27.702224804036213
24,1,score,-27.70222480403619
25,1,score,-27.702224804036206
26,1,score,-27.702224804036206
27,1,score,-27.702224804036206
28,1,score,-27.702224804036206
29,1,score,-27.702224804036213
30,1,score,-27.702224804036213
31,1,score,-27.702224804036213
32,1,score,-27.702224804036213
33,1,score,-27.702224804036227
34,1,score,-27.702224804036227
35,1,score,-27.702224804036227
36,1,score,-27.702224804036227
37,1,score,-27.702224804036206
38,1,score,-27.702224804036206
39,1,score,-27.702224804036206
40,1,score,-27.702224804036206
41,1,score,-27.702224804036206
42,1,score,-27.702224804036213
43,1,score,-27.702224804036234
44,1,score,-27.702224804036213
45,1,score,-27.702224804036206
46,1,score,-27.702224804036206
47,1,score,-27.702224804036206
48,1,score,-27.702224804036206
49,1,score,-27.702224804036206
50,1,score,-27.702224804036206
51,1,score,-27.702224804036206
52,1,score,-27.702224804036206
53,1,score,-27.702224804036206
54,1,score,-27.702224804036206
55,1,score,-27.702224804036213
56,1,score,-27.702224804036206
57,1,score,-27.702224804036206
58,1,score,-27.702224804036206
59,1,score,-27.702224804036206
60,1,score,-27.702224804036206
61,1,score,-27.702224804036206
62,1,score,-27.702224804036206
63,1,score,-27.7022248040362
64,1,score,-27.7022248040362
65,1,score,-27.7022248040362
66,1,score,-27.7022248040362
67,1,score,-27.702224804036213
68,1,score,-27.702224804036213
69,1,score,-27.702224804036213
70,1,score,-27.702224804036213
71,1,score,-27.702224804036206
72,1,score,-27.702224804036227
73,1,score,-27.702224804036227
74,1,score,-27.702224804036227
75,1,score,-27.702224804036213
76,1,score,-27.702224804036213
77,1,score,-27.702224804036213
78,1,score,-27.702224804036213
79,1,score,-27.702224804036213
80,1,score,-27.702224804036213
81,1,score,-27.702224804036213
82,1,score,-27.702224804036206
83,1,score,-27.702224804036206
84,1,score,-27.702224804036213
85,1,score,-27.702224804036184
86,1,score,-27.702224804036184
87,1,score,-27.702224804036206
88,1,score,-27.702224804036213
89,1,score,-27.702224804036227
90,1,score,-27.702224804036206
91,1,score,-27.702224804036206
92,1,score,-27.702224804036213
93,1,score,-27.702224804036213
94,1,score,-27.702224804036206
95,1,score,-27.702224804036206
96,1,score,-27.702224804036206
97,1,score,-27.702224804036206
98,1,score,-27.702224804036213
99,1,score,-27.702224804036213
100,1,score,-27.702224804036213
101,1,score,-27.702224804036213
102,1,score,-27.702224804036213
103,1,score,-27.917964135678247
104,1,score,-27.917964135678247
105,1,score,-28.525849654445324
106,1,score,-28.525849654445324
107,1,score,-28.468714884547865
108,1,score,-28.468714884547865
109,1,score,-27.740374714934568
110,1,score,-27.740374714934568
111,1,score,-27.740374714934568
112,1,score,-27.740374714934568
113,1,score,-27.740374714934568
114,1,score,-27.740374714934568
115,1,score,-27.740374714934568
116,1,score,-27.740374714934575
117,1,score,-27.740374714934568
118,1,score,-27.74037471493456
119,1,score,-27.74037471493456
120,1,score,-27.74037471493456
121,1,score,-27.74037471493456
122,1,score,-27.74037471493456
123,1,score,-27.74037471493456
124,1,score,-27.74037471493456
125,1,score,-27.74037471493456
126,1,score,-27.74037471493456
127,1,score,-27.740374714934575
128,1,score,-27.740374714934575
129,1,score,-27.740374714934575
130,1,score,-28.91574069719498
131,1,score,-28.91574069719497
132,1,score,-28.91574069719497
133,1,score,-28.915740697194998
134,1,score,-28.91574069719498
135,1,score,-27.536164809140892
136,1,score,-27.5361648091409
137,1,score,-27.53616480914089
138,1,score,-27.53616480914089
139,1,score,-27.53616480914089
140,1,score,-27.53616480914089
141,1,score,-27.53616480914089
142,1,score,-27.53616480914089
143,1,score,-27.53616480914089
144,1,score,-27.53616480914089
145,1,score,-27.53616480914088
146,1,score,-27.536164809140878
147,1,score,-27.5361648091409
148,1,score,-27.919116534740443
149,1,score,-28.833535890505487
150,1,score,-28.833535890505495
151,1,score,-28.833535890505487
152,1,score,-27.66723280759603
153,1,score,-27.66723280759603
154,1,score,-27.66723280759603
155,1,score,-27.66723280759603
156,1,score,-27.66723280759603
157,1,score,-27.66723280759603
158,1,score,-27.66723280759603
159,1,score,-27.66723280759603
160,1,score,-27.66723280759604
161,1,score,-27.667232807596033
162,1,score,-27.667232807596033
163,1,score,-27.667232807596033
164,1,score,-27.667232807596033
165,1,score,-27.667232807596033
166,1,score,-27.667232807596033
167,1,score,-27.667232807596026
168,1,score,-27.66723280759603
169,1,score,-27.667232807596033
170,1,score,-27.66723280759603
171,1,score,-27.66723280759603
172,1,score,-27.667232807596026
173,1,score,-27.667232807596026
174,1,score,-27.667232807596026
175,1,score,-27.667232807596026
176,1,score,-27.66723280759603
177,1,score,-27.66723280759603
178,1,score,-27.66723280759603
179,1,score,-27.667232807596033
180,1,score,-27.66723280759603
181,1,score,-27.667232807596037
182,1,score,-27.667232807596033
183,1,score,-27.667232807596033
184,1,score,-27.66723280759603
185,1,score,-27.66723280759603
186,1,score,-27.66723280759603
187,1,score,-27.66723280759603
188,1,score,-27.667232807596026
189,1,score,-27.667232807596026
190,1,score,-27.667232807596033
191,1,score,-27.667232807596037
192,1,score,-27.667232807596033
193,1,score,-27.66723280759603
194,1,score,-27.667232807596033
195,1,score,-27.667232807596026
196,1,score,-27.667232807596026
197,1,score,-27.667232807596033
198,1,score,-27.54984581217927
199,1,score,-27.549845812179292
200,1,score,-27.549845812179292
1,1,alpha,1.5935056715776508
2,1,alpha,1.5935056715776508
3,1,alpha,1.5935056715776508
4,1,alpha,1.5935056715776508
5,1,alpha,1.5935056715776508
6,1,alpha,1.5935056715776508
7,1,alpha,1.5935056715776508
8,1,alpha,1.5935056715776508
9,1,alpha,1.5935056715776508
10,1,alpha,1.5935056715776508
11,1,alpha,1.5935056715776508
12,1,alpha,1.5935056715776508
13,1,alpha,1.5935056715776508
14,1,alpha,1.5935056715776508
15,1,alpha,1.5935056715776508
16,1,alpha,2.0435210663815795
17,1,alpha,2.0435210663815795
18,1,alpha,2.0435210663815795
19,1,alpha,2.0435210663815795
20,1,alpha,2.0435210663815795
21,1,alpha,2.0435210663815795
22,1,alpha,2.0435210663815795
23,1,alpha,2.0435210663815795
24,1,alpha,2.0435210663815795
25,1,alpha,2.0435210663815795
26,1,alpha,2.0435210663815795
27,1,alpha,2.0435210663815795
28,1,alpha,2.0435210663815795
29,1,alpha,2.0435210663815795
30,1,alpha,2.0435210663815795
31,1,alpha,2.0435210663815795
32,1,alpha,2.0435210663815795
33,1,alpha,2.0435210663815795
34,1,alpha,2.0435210663815795
35,1,alpha,2.0435210663815795
36,1,alpha,2.0435210663815795
37,1,alpha,2.0435210663815795
38,1,alpha,2.0435210663815795
39,1,alpha,2.0435210663815795
40,1,alpha,2.0435210663815795
41,1,alpha,2.0435210663815795
42,1,alpha,2.0435210663815795
43,1,alpha,2.0435210663815795
44,1,alpha,2.0435210663815795
45,1,alpha,2.0435210663815795
46,1,alpha,2.0435210663815795
47,1,alpha,2.0435210663815795
48,1,alpha,2.0435210663815795
49,1,alpha,2.0435210663815795
50,1,alpha,2.0435210663815795
51,1,alpha,2.0435210663815795
52,1,alpha,2.0435210663815795
53,1,alpha,2.0435210663815795
54,1,alpha,2.0435210663815795
55,1,alpha,2.0435210663815795
56,1,alpha,2.0435210663815795
57,1,alpha,2.0435210663815795
58,1,alpha,2.0435210663815795
59,1,alpha,2.0435210663815795
60,1,alpha,2.0435210663815795
61,1,alpha,2.0435210663815795
62,1,alpha,2.0435210663815795
63,1,alpha,2.0435210663815795
64,1,alpha,2.0435210663815795
65,1,alpha,2.0435210663815795
66,1,alpha,2.0435210663815795
67,1,alpha,2.0435210663815795
68,1,alpha,2.0435210663815795
69,1,alpha,2.0435210663815795
70,1,alpha,2.0435210663815795
71,1,alpha,2.0435210663815795
72,1,alpha,2.0435210663815795
73,1,alpha,2.0435210663815795
74,1,alpha,2.0435210663815795
75,1,alpha,2.0435210663815795
76,1,alpha,2.0435210663815795
77,1,alpha,2.0435210663815795
78,1,alpha,2.0435210663815795
79,1,alpha,2.0435210663815795
80,1,alpha,2.0435210663815795
81,1,alpha,2.0435210663815795
82,1,alpha,2.0435210663815795
83,1,alpha,2.0435210663815795
84,1,alpha,2.0435210663815795
85,1,alpha,2.0435210663815795
86,1,alpha,2.0435210663815795
87,1,alpha,2.0435210663815795
88,1,alpha,2.0435210663815795
89,1,alpha,2.0435210663815795
90,1,alpha,2.0435210663815795
91,1,alpha,2.0435210663815795
92,1,alpha,2.0435210663815795
93,1,alpha,2.0435210663815795
94,1,alpha,2.0435210663815795
95,1,alpha,2.0435210663815795
96,1,alpha,2.0435210663815795
97,1,alpha,2.0435210663815795
98,1,alpha,2.0435210663815795
99,1,alpha,2.0435210663815795
100,1,alpha,2.0435210663815795
101,1,alpha,2.0435210663815795
102,1,alpha,2.0435210663815795
103,1,alpha,2.2159100502216855
104,1,alpha,2.2159100502216855
105,1,alpha,2.543006746136811
106,1,alpha,2.543006746136811
107,1,alpha,2.5170342947294477
108,1,alpha,2.5170342947294477
109,1,alpha,1.3091381054966034
110,1,alpha,1.3091381054966034
111,1,alpha,1.3091381054966034
112,1,alpha,1.3091381054966034
113,1,alpha,1.3091381054966034
114,1,alpha,1.3091381054966034
115,1,alpha,1.3091381054966034
116,1,alpha,1.3091381054966034
117,1,alpha,1.3091381054966034
118,1,alpha,1.3091381054966034
119,1,alpha,1.3091381054966034
120,1,alpha,1.3091381054966034
121,1,alpha,1.3091381054966034
122,1,alpha,1.3091381054966034
123,1,alpha,1.3091381054966034
124,1,alpha,1.3091381054966034
125,1,alpha,1.3091381054966034
126,1,alpha,1.3091381054966034
127,1,alpha,1.3091381054966034
128,1,alpha,1.3091381054966034
129,1,alpha,1.3091381054966034
130,1,alpha,2.7055741656087395
131,1,alpha,2.7055741656087395
132,1,alpha,2.7055741656087395
133,1,alpha,2.7055741656087395
134,1,alpha,2.7055741656087395
135,1,alpha,1.5657956541292117
136,1,alpha,1.5657956541292117
137,1,alpha,1.5657956541292117
138,1,alpha,1.5657956541292117
139,1,alpha,1.5657956541292117
140,1,alpha,1.5657956541292117
141,1,alpha,1.5657956541292117
142,1,alpha,1.5657956541292117
143,1,alpha,1.5657956541292117
144,1,alpha,1.5657956541292117
145,1,alpha,1.5657956541292117
146,1,alpha,1.5657956541292117
147,1,alpha,1.5657956541292117
148,1,alpha,1.1855814042186719
149,1,alpha,0.8015578309273108
150,1,alpha,0.8015578309273108
151,1,alpha,0.8015578309273108
152,1,alpha,2.0077742317255387
153,1,alpha,2.0077742317255387
154,1,alpha,2.0077742317255387
155,1,alpha,2.0077742317255387
156,1,alpha,2.0077742317255387
157,1,alpha,2.0077742317255387
158,1,alpha,2.0077742317255387
159,1,alpha,2.0077742317255387
160,1,alpha,2.0077742317255387
161,1,alpha,2.0077742317255387
162,1,alpha,2.0077742317255387
163,1,alpha,2.0077742317255387
164,1,alpha,2.0077742317255387
165,1,alpha,2.0077742317255387
166,1,alpha,2.0077742317255387
167,1,alpha,2.0077742317255387
168,1,alpha,2.0077742317255387
169,1,alpha,2.0077742317255387
170,1,alpha,2.0077742317255387
171,1,alpha,2.0077742317255387
172,1,alpha,2.0077742317255387
173,1,alpha,2.0077742317255387
174,1,alpha,2.0077742317255387
175,1,alpha,2.0077742317255387
176,1,alpha,2.0077742317255387
177,1,alpha,2.0077742317255387
178,1,alpha,2.0077742317255387
179,1,alpha,2.0077742317255387
180,1,alpha,2.0077742317255387
181,1,alpha,2.0077742317255387
182,1,alpha,2.0077742317255387
183,1,alpha,2.0077742317255387
184,1,alpha,2.0077742317255387
185,1,alpha,2.0077742317255387
186,1,alpha,2.0077742317255387
187,1,alpha,2.0077742317255387
188,1,alpha,2.0077742317255387
189,1,alpha,2.0077742317255387
190,1,alpha,2.0077742317255387
191,1,alpha,2.0077742317255387
192,1,alpha,2.0077742317255387
193,1,alpha,2.0077742317255387
194,1,alpha,2.0077742317255387
195,1,alpha,2.0077742317255387
196,1,alpha,2.0077742317255387
197,1,alpha,2.0077742317255387
198,1,alpha,1.8395576785848045
199,1,alpha,1.8395576785848045
200,1,alpha,1.8395576785848045
1,1,discount,0.39774253637205126
2,1,discount,0.7886631580196415
3,1,discount,0.6746812944110756
4,1,discount,0.6746812944110756
5,1,discount,0.02019820209990586
6,1,discount,0.02019820209990586
7,1,discount,0.02019820209990586
8,1,discount,0.5063725979506102
9,1,discount,0.5063725979506102
10,1,discount,0.5063725979506102
11,1,discount,0.5063725979506102
12,1,discount,0.7482643781156004
13,1,discount,0.7482643781156004
14,1,discount,0.7482643781156004
15,1,discount,0.7482643781156004
16,1,discount,0.7482643781156004
17,1,discount,0.7482643781156004
18,1,discount,0.5122117653133014
19,1,discount,0.5122117653133014
20,1,discount,0.5122117653133014
21,1,discount,0.5122117653133014
22,1,discount,0.33909298007592437
23,1,discount,0.33909298007592437
24,1,discount,0.6392672254405649
25,1,discount,0.8792697049349791
26,1,discount,0.5100362139930807
27,1,discount,0.28524662402177237
28,1,discount,0.28524662402177237
29,1,discount,0.12921644476674277
30,1,discount,0.23158544328363684
31,1,discount,0.23158544328363684
32,1,discount,0.23158544328363684
33,1,discount,0.8609036733403246
34,1,discount,0.8609036733403246
35,1,discount,0.8609036733403246
36,1,discount,0.8609036733403246
37,1,discount,0.5312796821937793
38,1,discount,0.5312796821937793
39,1,discount,0.5312796821937793
40,1,discount,0.5312796821937793
41,1,discount,0.5312796821937793
42,1,discount,0.3811480504504212
43,1,discount,0.9757509302225293
44,1,discount,0.3910902609882916
45,1,discount,0.6579338936526296
46,1,discount,0.6579338936526296
47,1,discount,0.6579338936526296
48,1,discount,0.6579338936526296
49,1,discount,0.6579338936526296
50,1,discount,0.6579338936526296
51,1,discount,0.6579338936526296
52,1,discount,0.6579338936526296
53,1,discount,0.6579338936526296
54,1,discount,0.6579338936526296
55,1,discount,0.11136144552816818
56,1,discount,0.6883070138818241
57,1,discount,0.19365261631602015
58,1,discount,0.19365261631602015
59,1,discount,0.6256122639823065
60,1,discount,0.5351546624588415
61,1,discount,0.5351546624588415
62,1,discount,0.5351546624588415
63,1,discount,0.9596549533987824
64,1,discount,0.9596549533987824
65,1,discount,0.9596549533987824
66,1,discount,0.9596549533987824
67,1,discount,0.00458460405744221
68,1,discount,0.00458460405744221
69,1,discount,0.00458460405744221
70,1,discount,0.00458460405744221
71,1,discount,0.35802546836416327
72,1,discount,0.6571009944854602
73,1,discount,0.6571009944854602
74,1,discount,0.6571009944854602
75,1,discount,0.05651627297324935
76,1,discount,0.05651627297324935
77,1,discount,0.05651627297324935
78,1,discount,0.05651627297324935
79,1,discount,0.05651627297324935
80,1,discount,0.5261709014000922
81,1,discount,0.5261709014000922
82,1,discount,0.3111272552247144
83,1,discount,0.3111272552247144
84,1,discount,0.14625020381632714
85,1,discount,0.9744807176109049
86,1,discount,0.9744807176109049
87,1,discount,0.4780508803127381
88,1,discount,0.37608018441387636
89,1,discount,0.6278074617726361
90,1,discount,0.8115595027669122
91,1,discount,0.8115595027669122
92,1,discount,0.07931936174550835
93,1,discount,0.07931936174550835
94,1,discount,0.6970829227896089
95,1,discount,0.8694404256429846
96,1,discount,0.8694404256429846
97,1,discount,0.8694404256429846
98,1,discount,0.1467736296361566
99,1,discount,0.1467736296361566
100,1,discount,0.1467736296361566
101,1,discount,0.1467736296361566
102,1,discount,0.1467736296361566
103,1,discount,0.1467736296361566
104,1,discount,0.1467736296361566
105,1,discount,0.1467736296361566
106,1,discount,0.1467736296361566
107,1,discount,0.1467736296361566
108,1,discount,0.1467736296361566
109,1,discount,0.1467736296361566
110,1,discount,0.1467736296361566
111,1,discount,0.1467736296361566
112,1,discount,0.1467736296361566
113,1,discount,0.1467736296361566
114,1,discount,0.1467736296361566
115,1,discount,0.00841682093288365
116,1,discount,0.29273975696499077
117,1,discount,0.33907037366597637
118,1,discount,0.6010391856051862
119,1,discount,0.6010391856051862
120,1,discount,0.1301379925925934
121,1,discount,0.5653979810632646
122,1,discount,0.5653979810632646
123,1,discount,0.5653979810632646
124,1,discount,0.5653979810632646
125,1,discount,0.5630858193967698
126,1,discount,0.18608857656986322
127,1,discount,0.7887102504461445
128,1,discount,0.7887102504461445
129,1,discount,0.7887102504461445
130,1,discount,0.7887102504461445
131,1,discount,0.5799991982000852
132,1,discount,0.5799991982000852
133,1,discount,0.9872439402663407
134,1,discount,0.28174647773712347
135,1,discount,0.28174647773712347
136,1,discount,0.3960224888933712
137,1,discount,0.49428365159214027
138,1,discount,0.49428365159214027
139,1,discount,0.49428365159214027
140,1,discount,0.9873803427407366
141,1,discount,0.9873803427407366
142,1,discount,0.9873803427407366
143,1,discount,0.5891052148201403
144,1,discount,0.5891052148201403
145,1,discount,0.29838943643939864
146,1,discount,0.9757408880620173
147,1,discount,0.06367737818712249
148,1,discount,0.06367737818712249
149,1,discount,0.06367737818712249
150,1,discount,0.3381619739216608
151,1,discount,0.0885146104099932
152,1,discount,0.0885146104099932
153,1,discount,0.0885146104099932
154,1,discount,0.561619471027216
155,1,discount,0.5541146404345196
156,1,discount,0.5541146404345196
157,1,discount,0.6492212861893119
158,1,discount,0.6492212861893119
159,1,discount,0.6492212861893119
160,1,discount,0.017111013142244724
161,1,discount,0.33029399666410564
162,1,discount,0.33029399666410564
163,1,discount,0.33029399666410564
164,1,discount,0.33029399666410564
165,1,discount,0.33029399666410564
166,1,discount,0.12082098041338862
167,1,discount,0.7969919654231923
168,1,discount,0.7513327965256835
169,1,discount,0.46243112185565693
170,1,discount,0.7089832777915481
171,1,discount,0.5026466813162731
172,1,discount,0.818949148371005
173,1,discount,0.9164716342082626
174,1,discount,0.8610199818963331
175,1,discount,0.8610199818963331
176,1,discount,0.6921406769410712
177,1,discount,0.6921406769410712
178,1,discount,0.14262292572081603
179,1,discount,0.13536989578950043
180,1,discount,0.46181005485066384
181,1,discount,0.1093516512354713
182,1,discount,0.29168149204069116
183,1,discount,0.13218310176286274
184,1,discount,0.5494541245040077
