Iteration,Chain,Parameter,value
1,1,score,-20.09571044005624
2,1,score,-20.09571044005624
3,1,score,-20.14621768891962
4,1,score,-20.14621768891962
5,1,score,-22.075618661863075
6,1,score,-22.075618661863075
7,1,score,-22.075618661863068
8,1,score,-22.075618661863068
9,1,score,-22.075618661863036
10,1,score,-22.075618661863075
11,1,score,-22.07561866186304
12,1,score,-22.07561866186304
13,1,score,-22.075618661863064
14,1,score,-22.075618661863064
15,1,score,-22.075618661863032
16,1,score,-20.086269208491316
17,1,score,-20.086269208491316
18,1,score,-20.086269208491327
19,1,score,-20.086269208491327
20,1,score,-20.086269208491338
21,1,score,-20.086269208491327
22,1,score,-20.086269208491327
23,1,score,-20.086269208491334
24,1,score,-20.086269208491334
25,1,score,-20.086269208491334
26,1,score,-20.086269208491327
27,1,score,-20.086269208491327
28,1,score,-20.086269208491327
29,1,score,-20.086269208491327
30,1,score,-20.086269208491327
31,1,score,-20.086269208491327
32,1,score,-20.086269208491327
33,1,score,-20.08626920849131
34,1,score,-20.08626920849132
35,1,score,-19.895172409283013
36,1,score,-19.89517240928303
37,1,score,-19.895172409283038
38,1,score,-19.895172409283038
39,1,score,-19.895172409283038
40,1,score,-19.895172409283038
41,1,score,-20.049990122669378
42,1,score,-20.049990122669378
43,1,score,-20.04999012266937
44,1,score,-20.049990122669385
45,1,score,-20.049990122669385
46,1,score,-20.049990122669385
47,1,score,-20.04999012266938
48,1,score,-20.04999012266938
49,1,score,-20.04999012266939
50,1,score,-20.049990122669385
51,1,score,-20.049990122669385
52,1,score,-20.049990122669385
53,1,score,-20.049990122669378
54,1,score,-20.049990122669378
55,1,score,-20.049990122669378
56,1,score,-20.049990122669378
57,1,score,-20.049990122669378
58,1,score,-20.049990122669378
59,1,score,-20.450133201960956
60,1,score,-20.450133201960956
61,1,score,-20.450133201960966
62,1,score,-20.450133201960966
63,1,score,-20.450133201960956
64,1,score,-20.450133201960966
65,1,score,-20.450133201960966
66,1,score,-20.450133201960963
67,1,score,-20.450133201960966
68,1,score,-20.450133201960966
69,1,score,-20.45013320196096
70,1,score,-20.45013320196096
71,1,score,-20.450133201960963
72,1,score,-20.450133201960963
73,1,score,-20.45013320196096
74,1,score,-20.45013320196096
75,1,score,-20.450133201960977
76,1,score,-20.450133201960977
77,1,score,-20.450133201960977
78,1,score,-20.450133201960977
79,1,score,-20.450133201960977
80,1,score,-20.450133201960963
81,1,score,-20.450133201960963
82,1,score,-20.450133201960966
83,1,score,-20.450133201960966
84,1,score,-20.450133201960966
85,1,score,-20.450133201960966
86,1,score,-20.450133201960966
87,1,score,-20.17197394221014
88,1,score,-20.17197394221014
89,1,score,-20.17197394221013
90,1,score,-20.17197394221013
91,1,score,-19.91207635278337
92,1,score,-19.912076352783345
93,1,score,-19.912076352783345
94,1,score,-19.912076352783345
95,1,score,-19.91207635278336
