ldf_num,condition,partnersExposureDescriptive,label,exposures,trueClickPoints,trueLabelPoints,pointCost,speechCost,testCorrect,known,estimated_p,appearance,method,score,partnersExposure,alpha,discount,action,likelihood
1,100_30,None,blicket,4,30,100,70,0,1,TRUE,0.3995901155792436,First,teach,30,0,1.3285435081236618,0.41684003305906897,point,-0.4892568330309538
1,100_30,None,blicket,4,30,100,70,0,1,TRUE,0.3995901155792436,Second,speak,100,0,1.3285435081236618,0.41684003305906897,teach,-11.523603228791433
1,100_30,None,blicket,4,30,100,70,0,1,TRUE,0.3995901155792436,Third,speak,100,0,1.3285435081236618,0.41684003305906897,point,-0.3394022152935197
1,100_30,None,dax,2,30,100,70,0,1,TRUE,0.3995901155792436,First,teach,30,0,1.3285435081236618,0.41684003305906897,teach,-0.4892568330309538
1,100_30,None,dax,2,30,100,70,0,1,TRUE,0.3995901155792436,Second,teach,30,0,1.3285435081236618,0.41684003305906897,speak,-1.9386225421022534
1,100_30,None,dax,2,30,100,70,0,1,TRUE,0.3995901155792436,Third,speak,100,0,1.3285435081236618,0.41684003305906897,point,-0.3394022152935197
1,100_30,None,fep,2,30,100,70,0,0,FALSE,0.3995901155792436,First,point,30,0,1.3285435081236618,0.41684003305906897,point,-4.800875088319749e-5
1,100_30,None,fep,2,30,100,70,0,0,FALSE,0.3995901155792436,Second,point,30,0,1.3285435081236618,0.41684003305906897,point,-4.800875088319749e-5
1,100_30,None,fep,2,30,100,70,0,0,FALSE,0.3995901155792436,Third,point,30,0,1.3285435081236618,0.41684003305906897,point,-4.800875088319749e-5
1,100_30,None,gazzer,4,30,100,70,0,1,TRUE,0.3995901155792436,First,teach,30,0,1.3285435081236618,0.41684003305906897,teach,-0.4892568330309538
1,100_30,None,gazzer,4,30,100,70,0,1,TRUE,0.3995901155792436,Second,speak,100,0,1.3285435081236618,0.41684003305906897,speak,-0.3394022152935197
1,100_30,None,gazzer,4,30,100,70,0,1,TRUE,0.3995901155792436,Third,speak,100,0,1.3285435081236618,0.41684003305906897,speak,-0.3394022152935197
1,100_30,None,kiv,1,30,100,70,0,1,TRUE,0.3995901155792436,First,teach,30,0,1.3285435081236618,0.41684003305906897,point,-0.4892568330309538
1,100_30,None,kiv,1,30,100,70,0,1,TRUE,0.3995901155792436,Second,teach,30,0,1.3285435081236618,0.41684003305906897,teach,-0.5313108968292327
1,100_30,None,kiv,1,30,100,70,0,1,TRUE,0.3995901155792436,Third,speak,100,0,1.3285435081236618,0.41684003305906897,speak,-0.3394022152935197
1,100_30,None,kreeb,4,30,100,70,0,0,FALSE,0.3995901155792436,First,teach,30,0,1.3285435081236618,0.41684003305906897,point,-10.637298438448902
1,100_30,None,kreeb,4,30,100,70,0,0,FALSE,0.3995901155792436,Second,speak,100,0,1.3285435081236618,0.41684003305906897,point,-10.637298438448902
1,100_30,None,kreeb,4,30,100,70,0,0,FALSE,0.3995901155792436,Third,speak,100,0,1.3285435081236618,0.41684003305906897,point,-10.637298438448902
1,100_30,None,manu,1,30,100,70,0,0,FALSE,0.3995901155792436,First,point,30,0,1.3285435081236618,0.41684003305906897,point,-4.800875088319749e-5
1,100_30,None,manu,1,30,100,70,0,0,FALSE,0.3995901155792436,Second,teach,30,0,1.3285435081236618,0.41684003305906897,point,-10.637298438448902
1,100_30,None,manu,1,30,100,70,0,0,FALSE,0.3995901155792436,Third,speak,100,0,1.3285435081236618,0.41684003305906897,point,-10.637298438448902
1,100_30,None,toma,2,30,100,70,0,1,TRUE,0.3995901155792436,First,teach,30,0,1.3285435081236618,0.41684003305906897,point,-0.4892568330309538
1,100_30,None,toma,2,30,100,70,0,1,TRUE,0.3995901155792436,Second,speak,100,0,1.3285435081236618,0.41684003305906897,teach,-11.523603228791433
1,100_30,None,toma,2,30,100,70,0,1,TRUE,0.3995901155792436,Third,speak,100,0,1.3285435081236618,0.41684003305906897,speak,-0.3394022152935197
1,100_30,None,wug,1,30,100,70,0,1,TRUE,0.3995901155792436,First,teach,30,0,1.3285435081236618,0.41684003305906897,teach,-0.4892568330309538
1,100_30,None,wug,1,30,100,70,0,1,TRUE,0.3995901155792436,Second,teach,30,0,1.3285435081236618,0.41684003305906897,speak,-1.9386225421022534
1,100_30,None,wug,1,30,100,70,0,1,TRUE,0.3995901155792436,Third,speak,100,0,1.3285435081236618,0.41684003305906897,speak,-0.3394022152935197
2,100_30,None,blicket,4,30,100,70,0,1,TRUE,0.4877411367804511,First,teach,30,0,1.3285435081236618,0.41684003305906897,point,-0.4892568330309538
2,100_30,None,blicket,4,30,100,70,0,1,TRUE,0.4877411367804511,Second,speak,100,0,1.3285435081236618,0.41684003305906897,point,-11.523603228791433
2,100_30,None,blicket,4,30,100,70,0,1,TRUE,0.4877411367804511,Third,speak,100,0,1.3285435081236618,0.41684003305906897,teach,-11.330409612661764
2,100_30,None,dax,1,30,100,70,0,1,TRUE,0.4877411367804511,First,point,30,0,1.3285435081236618,0.41684003305906897,teach,-0.9495661042049265
2,100_30,None,dax,1,30,100,70,0,1,TRUE,0.4877411367804511,Second,teach,30,0,1.3285435081236618,0.41684003305906897,speak,-1.9386225421022534
2,100_30,None,dax,1,30,100,70,0,1,TRUE,0.4877411367804511,Third,speak,100,0,1.3285435081236618,0.41684003305906897,teach,-0.3394022152935197
2,100_30,None,fep,2,30,100,70,0,1,TRUE,0.4877411367804511,First,point,30,0,1.3285435081236618,0.41684003305906897,teach,-0.9495661042049265
2,100_30,None,fep,2,30,100,70,0,1,TRUE,0.4877411367804511,Second,point,30,0,1.3285435081236618,0.41684003305906897,speak,-1.9386225421022534
2,100_30,None,fep,2,30,100,70,0,1,TRUE,0.4877411367804511,Third,teach,30,0,1.3285435081236618,0.41684003305906897,speak,-1.938622542102252
2,100_30,None,gazzer,1,30,100,70,0,1,TRUE,0.4877411367804511,First,point,30,0,1.3285435081236618,0.41684003305906897,teach,-0.9495661042049265
2,100_30,None,gazzer,1,30,100,70,0,1,TRUE,0.4877411367804511,Second,point,30,0,1.3285435081236618,0.41684003305906897,speak,-1.9386225421022534
2,100_30,None,gazzer,1,30,100,70,0,1,TRUE,0.4877411367804511,Third,teach,30,0,1.3285435081236618,0.41684003305906897,teach,-1.938622542102252
2,100_30,None,kiv,4,30,100,70,0,0,FALSE,0.4877411367804511,First,point,30,0,1.3285435081236618,0.41684003305906897,point,-4.800875088319749e-5
2,100_30,None,kiv,4,30,100,70,0,0,FALSE,0.4877411367804511,Second,teach,30,0,1.3285435081236618,0.41684003305906897,point,-10.637298438448902
2,100_30,None,kiv,4,30,100,70,0,0,FALSE,0.4877411367804511,Third,speak,100,0,1.3285435081236618,0.41684003305906897,point,-10.637298438448902
