ldf_num,condition,partnersExposureDescriptive,label,exposures,trueClickPoints,trueLabelPoints,pointCost,speechCost,testCorrect,known,estimated_p,appearance,method,score,partnersExposure,alpha,discount,action,likelihood
1,100_30,None,blicket,4,30,100,70,0,1,TRUE,0.3995901155792436,First,teach,30,0,1.4582422176537173,0.4994490054503573,point,-0.6931514294256567
1,100_30,None,blicket,4,30,100,70,0,1,TRUE,0.3995901155792436,Second,speak,100,0,1.4582422176537173,0.4994490054503573,point,-12.368860626370532
1,100_30,None,blicket,4,30,100,70,0,1,TRUE,0.3995901155792436,Third,speak,100,0,1.4582422176537173,0.4994490054503573,point,-12.368860626370532
1,100_30,None,dax,2,30,100,70,0,1,TRUE,0.3995901155792436,First,teach,30,0,1.4582422176537173,0.4994490054503573,teach,-0.6931514294256567
1,100_30,None,dax,2,30,100,70,0,1,TRUE,0.3995901155792436,Second,teach,30,0,1.4582422176537173,0.4994490054503573,speak,-2.0522548565838004
1,100_30,None,dax,2,30,100,70,0,1,TRUE,0.3995901155792436,Third,speak,100,0,1.4582422176537173,0.4994490054503573,teach,-0.29691106722149835
1,100_30,None,fep,2,30,100,70,0,0,FALSE,0.3995901155792436,First,point,30,0,1.4582422176537173,0.4994490054503573,point,-1.6995354532111655e-5
1,100_30,None,fep,2,30,100,70,0,0,FALSE,0.3995901155792436,Second,point,30,0,1.4582422176537173,0.4994490054503573,point,-1.6995354532111655e-5
1,100_30,None,fep,2,30,100,70,0,0,FALSE,0.3995901155792436,Third,point,30,0,1.4582422176537173,0.4994490054503573,point,-1.6995354532111655e-5
1,100_30,None,gazzer,4,30,100,70,0,1,TRUE,0.3995901155792436,First,teach,30,0,1.4582422176537173,0.4994490054503573,teach,-0.6931514294256567
1,100_30,None,gazzer,4,30,100,70,0,1,TRUE,0.3995901155792436,Second,speak,100,0,1.4582422176537173,0.4994490054503573,speak,-0.29691106722149835
1,100_30,None,gazzer,4,30,100,70,0,1,TRUE,0.3995901155792436,Third,speak,100,0,1.4582422176537173,0.4994490054503573,point,-0.29691106722149835
1,100_30,None,kiv,1,30,100,70,0,1,TRUE,0.3995901155792436,First,teach,30,0,1.4582422176537173,0.4994490054503573,teach,-0.6931514294256567
1,100_30,None,kiv,1,30,100,70,0,1,TRUE,0.3995901155792436,Second,teach,30,0,1.4582422176537173,0.4994490054503573,teach,-2.0522548565838004
1,100_30,None,kiv,1,30,100,70,0,1,TRUE,0.3995901155792436,Third,speak,100,0,1.4582422176537173,0.4994490054503573,speak,-0.29691106722149835
1,100_30,None,kreeb,4,30,100,70,0,0,FALSE,0.3995901155792436,First,teach,30,0,1.4582422176537173,0.4994490054503573,point,-11.675726192299408
1,100_30,None,kreeb,4,30,100,70,0,0,FALSE,0.3995901155792436,Second,speak,100,0,1.4582422176537173,0.4994490054503573,point,-11.675726192299408
1,100_30,None,kreeb,4,30,100,70,0,0,FALSE,0.3995901155792436,Third,speak,100,0,1.4582422176537173,0.4994490054503573,point,-11.675726192299408
1,100_30,None,manu,1,30,100,70,0,0,FALSE,0.3995901155792436,First,point,30,0,1.4582422176537173,0.4994490054503573,point,-1.6995354532111655e-5
1,100_30,None,manu,1,30,100,70,0,0,FALSE,0.3995901155792436,Second,teach,30,0,1.4582422176537173,0.4994490054503573,point,-11.675726192299408
1,100_30,None,manu,1,30,100,70,0,0,FALSE,0.3995901155792436,Third,speak,100,0,1.4582422176537173,0.4994490054503573,point,-11.675726192299408
1,100_30,None,toma,2,30,100,70,0,1,TRUE,0.3995901155792436,First,teach,30,0,1.4582422176537173,0.4994490054503573,teach,-0.6931514294256567
1,100_30,None,toma,2,30,100,70,0,1,TRUE,0.3995901155792436,Second,speak,100,0,1.4582422176537173,0.4994490054503573,speak,-0.29691106722149835
1,100_30,None,toma,2,30,100,70,0,1,TRUE,0.3995901155792436,Third,speak,100,0,1.4582422176537173,0.4994490054503573,speak,-0.29691106722149835
1,100_30,None,wug,1,30,100,70,0,1,TRUE,0.3995901155792436,First,teach,30,0,1.4582422176537173,0.4994490054503573,point,-0.6931514294256567
1,100_30,None,wug,1,30,100,70,0,1,TRUE,0.3995901155792436,Second,teach,30,0,1.4582422176537173,0.4994490054503573,point,-0.6931514294256567
1,100_30,None,wug,1,30,100,70,0,1,TRUE,0.3995901155792436,Third,speak,100,0,1.4582422176537173,0.4994490054503573,teach,-12.368860626370532
2,100_30,None,blicket,4,30,100,70,0,1,TRUE,0.4877411367804511,First,teach,30,0,1.4582422176537173,0.4994490054503573,teach,-0.6931514294256567
2,100_30,None,blicket,4,30,100,70,0,1,TRUE,0.4877411367804511,Second,speak,100,0,1.4582422176537173,0.4994490054503573,speak,-0.29691106722149835
2,100_30,None,blicket,4,30,100,70,0,1,TRUE,0.4877411367804511,Third,speak,100,0,1.4582422176537173,0.4994490054503573,speak,-0.29691106722149835
2,100_30,None,dax,1,30,100,70,0,1,TRUE,0.4877411367804511,First,point,30,0,1.4582422176537173,0.4994490054503573,teach,-0.6931514294256567
2,100_30,None,dax,1,30,100,70,0,1,TRUE,0.4877411367804511,Second,teach,30,0,1.4582422176537173,0.4994490054503573,speak,-2.0522548565838004
2,100_30,None,dax,1,30,100,70,0,1,TRUE,0.4877411367804511,Third,speak,100,0,1.4582422176537173,0.4994490054503573,speak,-0.29691106722149835
