ldf_num,condition,partnersExposure,label,exposures,trueClickPoints,trueLabelPoints,pointCost,speechCost,testCorrect,known,estimated_p,appearance,method,score,action
1,100_30,0,blicket,4,30,100,70,0,1,TRUE,0.3995901155792436,1,teach,30,teach
1,100_30,0,blicket,4,30,100,70,0,1,TRUE,0.3995901155792436,2,speak,100,teach
1,100_30,0,blicket,4,30,100,70,0,1,TRUE,0.3995901155792436,3,speak,100,speak
1,100_30,0,dax,2,30,100,70,0,1,TRUE,0.3995901155792436,1,teach,30,teach
1,100_30,0,dax,2,30,100,70,0,1,TRUE,0.3995901155792436,2,teach,30,teach
1,100_30,0,dax,2,30,100,70,0,1,TRUE,0.3995901155792436,3,speak,100,teach
1,100_30,0,fep,2,30,100,70,0,0,FALSE,0.3995901155792436,1,point,30,point
1,100_30,0,fep,2,30,100,70,0,0,FALSE,0.3995901155792436,2,point,30,point
1,100_30,0,fep,2,30,100,70,0,0,FALSE,0.3995901155792436,3,point,30,point
1,100_30,0,gazzer,4,30,100,70,0,1,TRUE,0.3995901155792436,1,teach,30,teach
1,100_30,0,gazzer,4,30,100,70,0,1,TRUE,0.3995901155792436,2,speak,100,teach
1,100_30,0,gazzer,4,30,100,70,0,1,TRUE,0.3995901155792436,3,speak,100,point
1,100_30,0,kiv,1,30,100,70,0,1,TRUE,0.3995901155792436,1,teach,30,teach
1,100_30,0,kiv,1,30,100,70,0,1,TRUE,0.3995901155792436,2,teach,30,speak
1,100_30,0,kiv,1,30,100,70,0,1,TRUE,0.3995901155792436,3,speak,100,speak
1,100_30,0,kreeb,4,30,100,70,0,0,FALSE,0.3995901155792436,1,teach,30,point
1,100_30,0,kreeb,4,30,100,70,0,0,FALSE,0.3995901155792436,2,speak,100,point
1,100_30,0,kreeb,4,30,100,70,0,0,FALSE,0.3995901155792436,3,speak,100,point
1,100_30,0,manu,1,30,100,70,0,0,FALSE,0.3995901155792436,1,point,30,point
1,100_30,0,manu,1,30,100,70,0,0,FALSE,0.3995901155792436,2,teach,30,point
1,100_30,0,manu,1,30,100,70,0,0,FALSE,0.3995901155792436,3,speak,100,point
1,100_30,0,toma,2,30,100,70,0,1,TRUE,0.3995901155792436,1,teach,30,teach
1,100_30,0,toma,2,30,100,70,0,1,TRUE,0.3995901155792436,2,speak,100,speak
1,100_30,0,toma,2,30,100,70,0,1,TRUE,0.3995901155792436,3,speak,100,teach
1,100_30,0,wug,1,30,100,70,0,1,TRUE,0.3995901155792436,1,teach,30,point
1,100_30,0,wug,1,30,100,70,0,1,TRUE,0.3995901155792436,2,teach,30,point
1,100_30,0,wug,1,30,100,70,0,1,TRUE,0.3995901155792436,3,speak,100,teach
2,100_30,0,blicket,4,30,100,70,0,1,TRUE,0.4877411367804511,1,teach,30,teach
2,100_30,0,blicket,4,30,100,70,0,1,TRUE,0.4877411367804511,2,speak,100,teach
