"","X1","ldf_num","phase","condition","partnersExposure","trialnum","score","partnerVocab","targetObjectName","exposureRate","realLabel","method","typedLabel","adjLabel","clickedObject","responseCorrect","partnerSelection","timestamp","duration","testCorrect","trueClickPoints","trueLabelPoints","toBeDropped","appearance","manipFail","usedEnglishLabels"
"1",1,1,"game","100_30","None",1,30,"character(0)","2002-600.jpg","1","manu","click",NA,NA,"manu",1,"2002-600.jpg",16:04:01,21851,0,30,100,0,"First",0,0
"2",2,1,"game","100_30","None",2,30,"c(""dax"", ""2005-600.jpg"")","2005-600.jpg","2","dax","label_click","dax","dax","dax",1,"2005-600.jpg",16:04:21,14411,1,30,100,0,"First",0,0
"3",3,1,"game","100_30","None",3,30,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"")","2002-600.jpg","1","manu","label_click","manu","manu","manu",1,"2002-600.jpg",16:04:34,7930,0,30,100,0,"Second",0,0
"4",4,1,"game","100_30","None",4,30,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"")","2009-600.jpg","1","kiv","label_click","kiv","kiv","kiv",1,"2009-600.jpg",16:04:45,7001,1,30,100,0,"First",0,0
"5",5,1,"game","100_30","None",5,30,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"", ""toma"", ""2023-600.jpg"")","2023-600.jpg","2","toma","label_click","toma","toma","toma",1,"2023-600.jpg",16:05:00,10474,1,30,100,0,"First",0,0
"6",6,1,"game","100_30","None",6,30,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"", ""toma"", ""2023-600.jpg"", ""blicket"", ""2056-600.jpg"")","2056-600.jpg","4","blicket","label_click","blicket","blicket","blicket",1,"2056-600.jpg",16:05:10,5866,1,30,100,0,"First",0,0
"7",7,1,"game","100_30","None",7,30,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"", ""toma"", ""2023-600.jpg"", ""blicket"", ""2056-600.jpg"", ""wug"", ""2001-600.jpg"")","2001-600.jpg","1","wug","label_click","wug","wug","wug",1,"2001-600.jpg",16:05:22,6193,1,30,100,0,"First",0,0
"8",8,1,"game","100_30","None",8,30,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"", ""toma"", ""2023-600.jpg"", ""blicket"", ""2056-600.jpg"", ""wug"", ""2001-600.jpg"")","2025-600.jpg","2","fep","click",NA,NA,"fep",1,"2025-600.jpg",16:05:30,4024,0,30,100,0,"First",0,0
"9",9,1,"game","100_30","None",9,30,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"", ""toma"", ""2023-600.jpg"", ""blicket"", ""2056-600.jpg"", ""wug"", ""2001-600.jpg"")","2001-600.jpg","1","wug","label_click","wug","wug","wug",1,"2001-600.jpg",16:05:39,5768,1,30,100,0,"Second",0,0
"10",10,1,"game","100_30","None",10,100,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"", ""toma"", ""2023-600.jpg"", ""blicket"", ""2056-600.jpg"", ""wug"", ""2001-600.jpg"")","2002-600.jpg","1","manu","label","manu","manu",NA,1,"2002-600.jpg",16:05:52,7811,0,30,100,0,"Third",0,0
"11",11,1,"game","100_30","None",11,30,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"", ""toma"", ""2023-600.jpg"", ""blicket"", ""2056-600.jpg"", ""wug"", ""2001-600.jpg"", ""gazzer"", ""2007-600.jpg"")","2007-600.jpg","4","gazzer","label_click","gazzer","gazzer","gazzer",1,"2007-600.jpg",16:06:03,6761,1,30,100,0,"First",0,0
"12",12,1,"game","100_30","None",12,30,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"", ""toma"", ""2023-600.jpg"", ""blicket"", ""2056-600.jpg"", ""wug"", ""2001-600.jpg"", ""gazzer"", ""2007-600.jpg"", ""kreeb"", ""2006-600.jpg"")","2006-600.jpg","4","kreeb","label_click","kreeb","kreeb","kreeb",1,"2006-600.jpg",16:06:17,7848,0,30,100,0,"First",0,0
"13",13,1,"game","100_30","None",13,100,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"", ""toma"", ""2023-600.jpg"", ""blicket"", ""2056-600.jpg"", ""wug"", ""2001-600.jpg"", ""gazzer"", ""2007-600.jpg"", ""kreeb"", ""2006-600.jpg"")","2023-600.jpg","2","toma","label","toma","toma",NA,1,"2023-600.jpg",16:06:26,4730,1,30,100,0,"Second",0,0
"14",14,1,"game","100_30","None",14,100,"c(""dax"", ""2005-600.jpg"", ""manu"", ""2002-600.jpg"", ""kiv"", ""2009-600.jpg"", ""toma"", ""2023-600.jpg"", ""blicket"", ""2056-600.jpg"", ""wug"", ""2001-600.jpg"", ""gazzer"", ""2007-600.jpg"", ""kreeb"", ""2006-600.jpg"")","2056-600.jpg","4","blicket","label","blicket","blicket",NA,1,"2056-600.jpg",16:06:37,7233,1,30,100,0,"Second",0,0
